name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
Bäckerei & Café,52.5154037,13.302987,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,,,,Mo-Fr 06:00-17:00; Sa 06:30-13:00; Su off,,OSM,node/661126960
Steinecke,52.497467,13.2907226,Charlottenburg-Wilmersdorf,Halensee,charlottenburg-wilmersdorf,halensee,chain,True,Steinecke,Kurfürstendamm,,10711,Mo-Fr 06:00-18:00; Sa 07:00-13:00,,OSM,node/663035641
Bäcker Feihl,52.4977961,13.2968374,Charlottenburg-Wilmersdorf,Halensee,charlottenburg-wilmersdorf,halensee,artisanal,False,,Kurfürstendamm,142,10709,Mo-Sa 06:30-18:00; Su 07:00-17:00,,OSM,node/663035644
Baki Backshop,52.4949617,13.3018242,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,,,,Mo-Fr 06:00-18:00; Su 07:00-13:00; Sa off,http://baki-backshop.de/,OSM,node/663611905
BioBackHaus,52.4744517,13.2940847,Charlottenburg-Wilmersdorf,Schmargendorf,charlottenburg-wilmersdorf,schmargendorf,artisanal,False,,,,,"Mo-Fr 07:00-18:00, Sa 07:00-14:00, Su 07:00-12:00",,OSM,node/664244068
Domberger Brot-Werk,52.5044711,13.3253576,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,,,,Tu-Fr 11:00-18:00; Sa 09:00-14:00,https://domberger-brot-werk.com/,OSM,node/665535087
Wiedemann,52.5191305,13.2574416,Charlottenburg-Wilmersdorf,Westend,charlottenburg-wilmersdorf,westend,artisanal,False,,Reichsstraße,35,14052,Mo-Fr 06:30-18:00; Sa 06:30-13:00; Su 08:00-11:00,,OSM,node/667211378
Bäckerei Zimmermann,52.5180501,13.2587434,Charlottenburg-Wilmersdorf,Westend,charlottenburg-wilmersdorf,westend,artisanal,False,,,,,Tu-Fr 05:30-19:00; Sa 05:30-16:00; Su 07:00-16:00,,OSM,node/667211381
Abu Laila,52.5286759,13.328418,Mitte,Moabit,mitte,moabit,artisanal,False,,Beusselstraße,69,10553,09:00-23:00,,OSM,node/667451730
Gragger Brot,52.500981,13.3252298,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,Uhlandstraße,170,10719,Mo-Fr 07:00-19:00; Sa 08:00-16:00,https://gragger.de/,OSM,node/670658020
Back Lounge,52.5236862,13.4627564,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Hermann-Blankenstein-Straße,38,10249,Mo-Sa 07:00-20:00,,OSM,node/671491570
Mond & Stern,52.5429052,13.3927617,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,,,,Mo-Fr 05:30-18:00; Sa 06:00-14:00; Su 08:00-15:00,,OSM,node/674019823
Vatan Bäckerei,52.5448717,13.2078543,Spandau,Spandau,spandau,spandau,artisanal,False,,,,,,,OSM,node/674100941
Bäcker Kroll,52.5509793,13.424146,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Kuglerstraße,65,10439,Tu-Fr 06:30-18:30; Sa 06:30-13:00,,OSM,node/674144566
Bäckerei Schnell,52.5536055,13.3604507,Mitte,Wedding,mitte,wedding,artisanal,False,,Oudenarder Straße,14,13347,Mo-Fr 06:30-18:30; Sa 06:30-16:00,,OSM,node/678968214
Familie Schroeter Konditorei & Bäckerei,52.4483688,13.3053059,Steglitz-Zehlendorf,Lichterfelde,steglitz-zehlendorf,lichterfelde,chain,True,Familie Schroeter,Enzianstraße,1,12203,Tu-Fr 06:00-18:00; Sa 06:00-14:00; Su 07:00-16:00; PH 07:00-13:00,https://konditorei-schroeter.de/,OSM,node/691484463
Thoben,52.4718181,13.3350435,Tempelhof-Schöneberg,Friedenau,tempelhof-schöneberg,friedenau,artisanal,False,,Lauterstraße,17-18,12159,Mo-Sa 08:00-18:00; Su 11:30-17:00,,OSM,node/691484790
