public_artwork_id,artwork_name,artwork_type,artist_name,street,neighbourhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13074430513,gazellen,statue,walter sutkowski,am tierpark,1101,11011011,10319,bronze,1956,,,,52.5043309,13.5228391
13074430514,gazellen,statue,walter sutkowski,am tierpark,1101,11011011,10319,bronze,1956,,,,52.5043978,13.5228077
13074430516,känguru,statue,erwin damerow,gensinger straße,1101,11011011,10319,artificial stone,1964,,,,52.5041388,13.529189
13074430526,fuchs,statue,stephan horota,enckevortweg,1101,11011011,10319,bronze,1966,,,,52.5020024,13.5302259
13074430527,wildschwein,statue,klaus tilke,enckevortweg,1101,11011011,10319,terracotta,1957,,,,52.5025056,13.528035
13074430532,panther,statue,erich oehme,richard-kolkwitz-weg,1101,11011011,10319,bronze,1958,,,,52.4996942,13.5335282
13074430533,kronenhirsch,statue,johann darsow,richard-kolkwitz-weg,1101,11011011,10319,bronze,1936,,,,52.499825,13.5317297
13074430538,sechs liegende elefanten,sculpture,unknown,richard-kolkwitz-weg,1101,11011011,10319,stone,,,,,52.5000511,13.5317056
13074430539,sechs liegende elefanten,sculpture,unknown,richard-kolkwitz-weg,1101,11011011,10319,stone,,,,,52.5000377,13.5316895
13074430540,sechs liegende elefanten,sculpture,unknown,richard-kolkwitz-weg,1101,11011011,10319,stone,,,,,52.4999781,13.5315654
13074430541,sechs liegende elefanten,sculpture,unknown,richard-kolkwitz-weg,1101,11011011,10319,stone,,,,,52.4999719,13.5315366
13074430542,sechs liegende elefanten,sculpture,unknown,am tierpark,1101,11011011,10319,stone,,,,,52.4999609,13.5313817
13074430543,sechs liegende elefanten,sculpture,unknown,am tierpark,1101,11011011,10319,stone,,,,,52.4999654,13.5313502
13076121342,bube mit zickel,statue,walter lerche,am tierpark,1101,11011011,10319,artificial stone,1956,,,,52.4995757,13.5286922
13076121343,karl foerster,bust,senta baldamus,alfred-kowalke-straße,1101,11011011,10315,bronze,1961,,,,52.5055796,13.526531
13076121344,carl von linné,bust,senta baldamus,alfred-kowalke-straße,1101,11011011,10315,bronze,1994,,Q111630171,,52.5049664,13.5245138
