area_id,neighborhood,year,data_type,crime_type_german,crime_type_english,category,value,severity_weight
74008,Tempelhof Südwest,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,2516.0,2.0
74008,Tempelhof Südwest,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,1031.0,1.5
74008,Tempelhof Südwest,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,281.0,3.5
74008,Tempelhof Südwest,2019,frequency,Raub,Robbery,Violent Crime,69.0,4.0
74008,Tempelhof Südwest,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,216.0,4.5
74008,Tempelhof Südwest,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,25.0,4.5
74008,Tempelhof Südwest,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,4695.0,2.0
74008,Tempelhof Südwest,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,838.0,2.5
74008,Tempelhof Südwest,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,11140.0,1.0
74008,Tempelhof Südwest,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,150.0,3.0
74009,Tempelhof Südost,2019,cases,Brand- stiftung,Arson,Property Crime,9.0,4.5
74009,Tempelhof Südost,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,12.0,4.0
74009,Tempelhof Südost,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,224.0,3.5
74009,Tempelhof Südost,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,93.0,1.5
74009,Tempelhof Südost,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,85.0,3.0
74009,Tempelhof Südost,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,37.0,2.5
74009,Tempelhof Südost,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,14.0,1.0
74009,Tempelhof Südost,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,625.0,2.0
74009,Tempelhof Südost,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,194.0,1.5
74009,Tempelhof Südost,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,50.0,3.5
74009,Tempelhof Südost,2019,cases,Raub,Robbery,Violent Crime,23.0,4.0
74009,Tempelhof Südost,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,52.0,4.5
74009,Tempelhof Südost,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,7.0,4.5
74009,Tempelhof Südost,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,1302.0,2.0
74009,Tempelhof Südost,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,199.0,2.5
74009,Tempelhof Südost,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,2557.0,1.0
